city,state,Long Term Debt - Beginning Outstanding - Unspecified Public Purpose,Outstanding Unspecified Public Purpose,Retired Unspecified Public Purpose,Long Term Debt - Outstanding Unspecified Public Purpose,Beginning Outstanding - Unspecified Public Purpose,Retired Nonguaranteed - Public Debt for Private Purpose,Beginning Outstanding - Public Debt for Private Purpose,"Issue, Unspecified Public Purpose",Short Term Debt Outstanding - Beginning,End of Fiscal Year,Outstanding Nonguaranteed - Industrial Revenue,"Issue, Nonguaranteed - Public Debt for Private Purpose",Long Term Debt - Beginning Outstanding - Public Debt for Private Purpose,Short Term Debt Outstanding - End of Fiscal Year,Beginning,Long Term Debt - Outstanding Nonguaranteed - Industrial Revenue,Long Term Debt - Retired Unspecified Public Purpose,Beginning Outstanding - Other,Outstanding Nonguaranteed - Other - Other,Outstanding - Full Faith and Credit - Other - Other,Beginning Outstanding - Gas Utilities,Outstanding - Full Faith and Credit - Gas Utilities,Offsets - Nonguaranteed,Issue - Full Faith and Credit - Gas Utilities,Retired Nonguaranteed - Other - Other,Beginning Outstanding - Industrial Revenue,Offsets - Full Faith and Credit,"Issue, Nonguaranteed - Other - Other",Refunded - Issued,Refunded - Retired,Issue - Full Faith and Credit - Other - Other,Retired - Full Faith and Credit - Other - Other,Outstanding - Full Faith and Credit - Transit Utilities,Retired Nonguaranteed - Industrial Revenue,Beginning Outstanding - Transit Utilities,Issue - Full Faith and Credit - Transit Utilities,Retired - Full Faith and Credit - Gas Utilities,Retired - Full Faith and Credit - Transit Utilities,"Issue, Unspecified - Other - Other","Long Term Debt - Issue, Unspecified Public Purpose",Retired Unspecified - Other - Other,Beginning Outstanding - Water Utilities,Outstanding Nonguaranteed - Water Utilities,"Beginning Outstanding, Education - Other",Outstanding - Full Faith and Credit - Elementary and Secondary Education,Retired Unspecified - Elementary and Secondary Education,Retired Unspecified - Water Utilities
Levelland,Texas,956.97,892.02,64.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texico,New-Mexico,,,,114.34,114.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East-Providence,Rhode-Island,1807.59,1708.77,98.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redmond,Oregon,2514.20,2484.87,150.37,,,,,121.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,New-York,,597.45,156.49,,753.94,231.03,,,,,1600.04,,1831.07,462.33,402.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa-Fe-Springs,California,,,70.28,708.39,387.86,,,390.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,South-Carolina,191.19,,191.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,Ohio,1943.08,1866.99,207.28,,,,43.28,131.19,,,43.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collegeville,Pennsylvania,,,4.64,95.09,7.34,,,92.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,Kentucky,,692.25,43.28,,735.23,,6303.73,0.30,,,,,,,,6303.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atascadero,California,1380.55,1353.78,26.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,Massachusetts,2748.91,2747.84,227.77,,,,,226.70,,,,,,36.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College-Station,Texas,,,115.60,1568.69,1086.31,212.24,1279.35,597.98,,,1295.53,228.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell,South-Dakota,1736.21,1713.63,263.09,,,,72.71,240.58,,,72.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowlett,Texas,,,147.31,1478.42,1463.42,,,162.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsfield,Massachusetts,,,225.02,2937.00,2500.24,,,661.81,662.26,340.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover,Delaware,967.88,919.12,48.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtle-Beach,South-Carolina,,,580.60,6267.27,6136.19,,,711.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamford,Connecticut,,,530.43,4363.79,4285.58,,,608.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayward,California,1029.26,973.25,61.52,,,1.35,355.80,5.51,,,354.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Centro,California,,,2267.18,9051.25,5564.94,,,5753.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madisonville,Tennessee,876.45,824.07,52.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence,South-Carolina,,,239.55,5239.65,4975.99,,,503.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwanee,Georgia,827.33,773.95,657.72,,,,,604.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
