city,state,total population 2019,percent urban 2019,percent rural 2019,median age,median income 2019,median house price 2019,median rent 2019,cost of living index,population density 2019
Mountain-Home,Arkansas,12569.0,93,7,47.8,28651.0,134388.0,683.0,80.9,1182.0
Clarksville,Indiana,21558.0,100,0,40.9,25882.0,137178.0,854.0,86.3,2136.0
Florence,Alabama,40797.0,100,0,35.0,24682.0,148783.0,617.0,81.5,1636.0
Reston,Virginia,58404.0,,,40.2,66545.0,519679.0,1877.0,168.7,3405.0
Bristol,Virginia,16762.0,100,0,42.5,23810.0,118121.0,698.0,79.9,1299.0
Holyoke,Massachusetts,40117.0,99,1,35.3,25773.0,211253.0,854.0,122.1,1885.0
Fort-Smith,Arkansas,87891.0,99,1,37.3,24958.0,138000.0,719.0,79.7,1746.0
Okeechobee,Florida,5816.0,100,0,37.2,21455.0,129437.0,816.0,79.2,1410.0
Paducah,Kentucky,24865.0,100,0,42.5,29155.0,116666.0,634.0,80.3,1276.0
Wallington,New-Jersey,11495.0,100,0,40.0,41669.0,383644.0,1316.0,121.1,11544.0
Walnut,California,29685.0,100,0,46.5,43511.0,855266.0,2548.0,140.2,3305.0
Garberville,California,12402.0,,,38.4,30127.0,350708.0,,107.5,15.0
Aberdeen,Washington,16756.0,99,1,37.4,26306.0,153359.0,833.0,83.5,1577.0
Markham,Illinois,12314.0,100,0,37.9,22539.0,95401.0,1286.0,103.6,2362.0
Delmar,Delaware,1822.0,94,6,39.9,20830.0,155030.0,755.0,80.7,1941.0
Carthage,Missouri,14746.0,99,1,32.4,20267.0,89199.0,698.0,81.6,1546.0
Phoenix,Arizona,1680992.0,100,0,34.4,30686.0,266600.0,1107.0,95.6,3540.0
Kingman,Arizona,31013.0,95,5,43.3,28670.0,177383.0,924.0,87.8,1035.0
Durham,North-Carolina,278993.0,100,0,34.5,36045.0,253500.0,1127.0,94.0,2948.0
Las-Vegas,New-Mexico,12919.0,99,1,41.7,20960.0,124118.0,611.0,83.3,1719.0
Greenfield,Massachusetts,13768.0,,,38.4,31163.0,199669.0,,115.4,2400.0
Key-West,Florida,24118.0,100,0,41.4,46623.0,699627.0,1718.0,111.1,4056.0
Corpus-Christi,Texas,326586.0,99,1,35.3,26979.0,157100.0,1037.0,86.7,2112.0
El-Dorado,Arkansas,17651.0,95,5,37.1,25009.0,94423.0,677.0,78.8,1085.0
Spencer,Iowa,10952.0,98,2,43.8,28879.0,138473.0,700.0,77.3,1082.0
Twentynine-Palms,California,26073.0,80,20,24.6,22633.0,165001.0,1001.0,80.0,476.0
Felton,Delaware,1414.0,95,5,42.2,28189.0,195289.0,891.0,90.0,2287.0
Wichita-Falls,Texas,104683.0,97,3,32.9,24635.0,111200.0,770.0,82.3,1481.0
West-Chicago,Illinois,26816.0,100,0,34.4,29469.0,256051.0,1110.0,103.8,1938.0
Jersey-Shore,Pennsylvania,4139.0,100,0,38.4,22990.0,113302.0,691.0,91.4,3375.0
Corbin,Kentucky,7202.0,99,1,37.9,23275.0,111892.0,635.0,79.0,973.0
Kennewick,Washington,84347.0,99,1,35.5,30228.0,254800.0,960.0,94.1,3678.0
Vallejo,California,121692.0,100,0,39.7,33208.0,441100.0,1680.0,139.0,4031.0
Wenatchee,Washington,34360.0,100,0,34.5,30093.0,298450.0,1006.0,96.7,4995.0
Sachse,Texas,26046.0,98,2,37.4,39637.0,299036.0,1577.0,95.3,2676.0
Union-City,Tennessee,10325.0,92,8,41.3,19883.0,110985.0,607.0,78.9,968.0
Crockett,Texas,6385.0,89,11,35.3,17283.0,90035.0,710.0,78.8,720.0
Coldwater,Michigan,12215.0,100,0,38.6,21580.0,96570.0,754.0,76.9,1503.0
West-Palm-Beach,Florida,111955.0,99,1,36.9,31400.0,267800.0,1451.0,102.1,2030.0
Moses-Lake,Washington,24086.0,100,0,32.6,25730.0,187340.0,926.0,85.7,2366.0
Tallulah,Louisiana,6666.0,100,0,34.8,15225.0,77978.0,604.0,77.2,2464.0
Gary,Indiana,74879.0,100,0,36.8,19284.0,63800.0,805.0,94.0,1491.0
Eatonton,Georgia,6725.0,64,36,39.0,21049.0,87673.0,540.0,75.9,327.0
Merlin,Oregon,1615.0,,,52.9,25958.0,293100.0,776.0,87.2,
Stratford,Texas,2057.0,0,100,39.8,24833.0,122563.0,786.0,79.3,1013.0
Fargo,North-Dakota,124662.0,100,0,33.4,35530.0,236800.0,787.0,99.9,3286.0
Dickinson,North-Dakota,23133.0,98,2,33.0,37656.0,252116.0,892.0,81.5,2443.0
Boone,North-Carolina,19667.0,99,1,21.4,17550.0,300272.0,923.0,95.8,3368.0
Eden,Texas,1294.0,0,100,44.0,13338.0,85039.0,809.0,79.3,533.0
Columbia,Missouri,123195.0,98,2,28.5,31214.0,218100.0,966.0,86.5,2321.0
Convoy,Ohio,1059.0,0,100,36.0,26293.0,80272.0,862.0,82.8,1902.0
South-San-Francisco,California,67789.0,100,0,43.4,48995.0,973400.0,2417.0,166.6,7515.0
Green-Bay,Wisconsin,104578.0,99,1,36.0,27348.0,154700.0,756.0,91.9,2384.0
Rockwall,Texas,45888.0,98,2,38.4,45060.0,293707.0,1208.0,93.9,2060.0
Stockton,California,312697.0,100,0,34.0,26417.0,317700.0,1184.0,98.6,5715.0
Pensacola,Florida,52975.0,100,0,37.0,35109.0,216434.0,974.0,86.2,2334.0
Palm-Springs,California,48518.0,97,3,56.3,48493.0,427989.0,1212.0,83.5,515.0
Ames,Iowa,66258.0,100,0,25.0,28146.0,234100.0,933.0,91.6,3072.0
Poplar-Bluff,Missouri,16937.0,97,3,35.9,18982.0,98748.0,680.0,76.0,1464.0
