city,state,grocery stores per 10k,convenience stores (no gas) per 10k,convenience stores (with gas) per 10k,full-service restaurants per 10k,supercenters and club stores per 10k
Bristol,Tennessee,1.3,0.39,4.89,5.93,0.13
Brea,California,1.78,0.49,1.46,8.19,0.06
Kingston,Tennessee,1.5,0.94,5.82,4.13,0.19
Dallas,Texas,1.64,1.15,2.82,6.73,0.1
Jamestown,North-Dakota,2.44,,4.4,11.7,
Traverse-City,Michigan,2.69,1.64,3.63,9.6,0.23
Decatur,Arkansas,1.23,0.35,3.9,6.42,0.3
St.-Louis,Missouri,2.76,,2.47,8.94,
Aspermont,Texas,7.09,7.09,7.09,,
Cleveland,Oklahoma,1.83,0.61,5.48,4.87,
Sioux-City,Iowa,1.86,0.29,4.51,8.24,0.29
Steeleville,Illinois,2.44,0.31,5.49,7.94,0.31
Fairmont,West-Virginia,1.77,1.06,5.82,5.12,
Springfield,Oregon,1.95,2.68,1.69,8.4,0.44
Eau-Claire,Wisconsin,1.64,0.1,4.1,7.38,0.31
Pocatello,Idaho,1.13,0.38,3.63,5.88,0.25
Long-Branch,New-Jersey,2.57,1.82,0.8,9.71,0.08
Absecon,New-Jersey,2.52,2.04,0.89,11.5,0.07
Bartlett,Illinois,2.77,0.93,1.53,6.67,0.04
La-Habra,California,1.78,0.49,1.46,8.19,0.06
