state,county,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Ohio,Morgan,1536,4593,3268,1066,14.680301666259766,43.897544860839844,31.233871459960938,10.18828296661377
Ohio,Morrow,2977,10627,7236,3347,12.30826473236084,43.936824798583984,29.91689682006836,13.838011741638184
Ohio,Muskingum,7177,24388,17653,9437,12.235956192016602,41.5787239074707,30.09632682800293,16.0889949798584
Ohio,Noble,1694,5300,2979,1097,15.302619934082031,47.87714385986328,26.910568237304688,9.909666061401367
Ohio,Ottawa,2525,10682,10172,7008,8.309473991394043,35.15319061279297,33.4748420715332,23.0624942779541
Ohio,Paulding,1234,6216,3494,2030,9.511330604553223,47.91120529174805,26.930784225463867,15.64667797088623
Ohio,Perry,3127,11707,6833,3005,12.674286842346191,47.4505500793457,27.695363998413086,12.17979907989502
Ohio,Pickaway,5162,17146,10532,7411,12.824525833129883,42.59769821166992,26.165809631347656,18.411964416503906
Ohio,Pike,3841,7795,5313,2452,19.797948837280273,40.178340911865234,27.38518714904785,12.638524055480957
Ohio,Portage,8024,38519,28228,30540,7.61933708190918,36.5764274597168,26.80441665649414,28.999818801879883
Ohio,Preble,2764,12640,8709,4689,9.596555709838867,43.885841369628906,30.237483978271484,16.280118942260742
Ohio,Putnam,1637,9324,6897,4723,7.249457359313965,41.291351318359375,30.543376922607422,20.915813446044922
Ohio,Richland,11062,33313,24765,15509,13.06808090209961,39.35427474975586,29.256105422973633,18.3215389251709
Ohio,Ross,6759,23422,15735,8598,12.398650169372559,42.965110778808594,28.864145278930664,15.772095680236816
Ohio,Sandusky,3950,17378,13068,6601,9.634851455688477,42.388465881347656,31.875503540039062,16.101177215576172
Ohio,Scioto,7993,21764,14782,8298,15.127656936645508,41.190834045410156,27.976606369018555,15.704903602600098
Ohio,Seneca,3083,16836,11040,6261,8.283181190490723,45.23374557495117,29.66147232055664,16.82160186767578
Ohio,Shelby,3157,13363,9779,6053,9.758283615112305,41.30501937866211,30.226879119873047,18.70981788635254
Ohio,Stark,21769,99295,79469,59233,8.380234718322754,38.224788665771484,30.592533111572266,22.802444458007812
Ohio,Summit,31386,114876,110574,123423,8.2538480758667,30.209936141967773,29.078601837158203,32.45761489868164
Ohio,Trumbull,15208,63859,37464,26841,10.60737133026123,44.540775299072266,26.130624771118164,18.721229553222656
Ohio,Tuscarawas,8993,28618,15319,11113,14.04212760925293,44.68560028076172,23.91986656188965,17.35240364074707
Ohio,Union,2510,12243,9889,13579,6.567070484161377,32.032127380371094,25.873210906982422,35.527587890625
Ohio,Van Wert,1691,8592,5901,3221,8.714248657226562,44.27724838256836,30.40968894958496,16.598814010620117
Ohio,Vinton,1769,3996,2216,1169,19.33333396911621,43.6721305847168,24.218578338623047,12.775956153869629
Ohio,Warren,9494,39740,38694,66311,6.15538215637207,25.765209197998047,25.087039947509766,42.99237060546875
Ohio,Washington,4070,17433,13638,8152,9.401058197021484,40.267478942871094,31.501628875732422,18.829833984375
Ohio,Wayne,10290,29775,19324,16948,13.47970199584961,39.004676818847656,25.314067840576172,22.201553344726562
Ohio,Williams,2423,10851,8440,3907,9.457085609436035,42.35197830200195,32.94172668457031,15.2492094039917
Ohio,Wood,4589,24781,24359,27089,5.6781907081604,30.662723541259766,30.140562057495117,33.518524169921875
Ohio,Wyandot,1235,6959,4415,2611,8.114323616027832,45.72273254394531,29.007884979248047,17.155059814453125
Oklahoma,Adair,2755,6666,3231,1665,19.24285888671875,46.56003189086914,22.567577362060547,11.629530906677246
