city,state,engineers,"other management occupations, except farmers and farm managers","other sales and related occupations, including supervisors","information and record clerks, except customer service representatives","material recording, scheduling, dispatching, and distributing workers","other office and administrative support workers, including supervisors","preschool, kindergarten, elementary, and middle school teachers","supervisors, construction and extraction workers",construction laborers,computer specialists,"counselors, social workers, and other community and social service specialists",cashiers,"other production occupations, including supervisors",assemblers and fabricators,building and grounds cleaning and maintenance occupations,"law enforcement workers, including supervisors","laborers and material movers, hand",driver/sales workers and truck drivers,"electrical equipment mechanics and other installation, maintenance, and repair workers, including supervisors",registered nurses,"nursing, psychiatric, and home health aides",cooks and food preparation workers,carpenters,"retail sales workers, except cashiers",customer service representatives,health technologists and technicians,"sales representatives, services, wholesale and manufacturing",top executives,secretaries and administrative assistants,waiters and waitresses,"vehicle and mobile equipment mechanics, installers, and repairers","other food preparation and serving workers, including supervisors","bookkeeping, accounting, and auditing clerks",farmers and farm managers,"agricultural workers, including supervisors",child care workers,"other teachers, instructors, education, training, and library occupations",postsecondary teachers,"other material moving workers, except laborers",metal workers and plastic workers,"operations specialties managers, except financial managers","entertainers and performers, sports, and related workers",media and communications workers,other healthcare support occupations,extraction workers,"construction traders workers except carpenters, electricians, painters, plumbers, and construction laborers",personal appearance workers,"financial clerks, except bookkeeping, accounting and auditing clerks",lawyers,physicians and surgeons,painters and paperhangers,accountants and auditors,"teachers, secondary school",rail and water transportation workers,"advertising, marketing, promotions, public relations, and sales managers",life and physical scientists,food processing workers,"supervisors and other personal care and service workers, except child care workers","other protective service workers, including supervisors","textile, apparel, and furnishings workers",social scientists and related workers,other transportation occupations,therapists,other financial specialists,"life, physical, and social science technicians",mathematical science occupations,woodworkers,art and design workers,"pipelayers, plumbers, pipefitters, and steamfitters",bus drivers,"transportation, tourism, and lodging attendants","food and beverage serving workers, except waiters and waitresses","fishing, hunting, and forestry occupations",religious workers,"motor vehicle operators, except bus and truck drivers",printing workers,"drafters, engineering, and mapping technicians",other health diagnosing and treating practitioners and technical occupations,electricians,"supervisors, transportation, and material moving workers","judges, magistrates, and other judicial workers",legal support workers,other construction workers and helpers,financial managers,occupational and physical therapist assistants and aides,plant and system operators,communications equipment operators,"teachers, special education"
New-Orleans,Louisiana,,7.6,,,,,,,,3.1,3.4,3.0,,,2.9,,,3.3,2.7,3.3,5.1,3.0,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greeneville,Tennessee,,3.9,5.0,,,,5.3,,,,,,6.2,6.9,,,4.7,5.2,4.8,,4.3,,,,,5.1,,,7.1,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt-Lake-City,Utah,,5.6,,,,,,,2.9,4.5,4.6,,,,3.9,,2.9,,,,,3.5,,,3.9,,,,,,,,,,,,,3.3,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsdale,Illinois,,5.0,4.4,,,10.7,,,,,,,13.2,,6.3,,,12.6,5.0,,,5.7,,3.8,,,,,,6.3,,6.9,,,,,,,,12.6,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suitland,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacheco,California,,3.8,4.6,,,10.7,4.8,,,3.9,,,,,4.3,,3.7,,5.2,,,,,5.4,,,,,6.9,,,,,,,3.9,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,Florida,,5.1,,3.9,,5.0,,,,2.9,,4.2,,,4.2,,6.3,7.6,2.7,,,,,4.3,5.2,,,,3.5,4.1,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huron,South-Dakota,,5.3,4.2,,,,4.0,,,,,,4.0,4.4,4.1,,,4.3,,5.2,,,,,,,,,5.4,,,,,,,5.0,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham,Washington,,4.3,,,,3.4,,,,3.3,5.1,,,,3.4,,,3.9,4.2,,3.8,4.4,,5.1,,,,,,,,,,,,,2.4,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmwood-Park,Illinois,,3.7,5.4,5.8,,9.1,,,,,,4.0,4.4,,4.3,,,5.9,4.4,3.7,,,,,,,3.8,,7.8,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cave-Junction,Oregon,,5.9,5.3,,,,8.6,,4.3,,,,5.7,,4.8,,,5.7,4.8,,,5.2,,,6.4,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,5.9,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,
Evanston,Illinois,,6.5,,,,3.1,,,,7.6,4.7,,,,2.9,,,,,,3.7,,,,,,,3.2,,,,,,,,,2.6,5.2,,,,3.1,3.1,,,,,,2.6,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
Duluth,Minnesota,,5.4,,,,,,,,,4.0,,,,6.5,,4.7,3.1,,5.0,6.0,3.2,,3.6,,3.5,,,,4.2,,,,,,,,2.6,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,
Crete,Illinois,,4.6,3.3,,4.9,7.5,5.6,,,,,,,,4.4,,,4.8,4.4,5.2,,,,,3.9,,3.1,4.5,,3.7,,,4.4,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watertown,South-Dakota,,,4.5,,,4.0,4.7,,,,,4.8,4.3,4.5,3.5,,4.2,5.7,5.3,,,,,5.0,,,,,5.2,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decherd,Tennessee,,4.4,5.3,,,5.7,4.3,,,,,4.3,7.3,,6.1,,,6.3,,,,,,4.7,,,,,8.7,,,,,,,,,,,9.1,,,,,,4.5,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toms-River,New-Jersey,3.2,4.6,,,,,,,,4.1,,2.5,,,,,3.9,2.7,3.9,4.9,,,,3.2,,5.0,,,4.3,,,,,,,,,,,,,,,,,,4.2,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,
Melbourne-Beach,Florida,5.5,7.3,7.1,6.4,,6.1,7.6,,,4.9,,,,,,,,,,5.7,,,,,,,3.3,9.1,5.1,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,
Newark,New-Jersey,,4.3,,3.7,,,,,9.2,,,,4.3,,10.2,,5.3,6.8,,,7.6,,4.1,,,,,,3.6,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamlin,Texas,,5.2,3.4,,,4.5,4.5,,,,,,6.8,,11.7,,4.8,10.5,,,4.9,4.7,,,,11.7,,,6.3,,6.0,,,5.6,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cullman,Alabama,3.9,6.0,5.2,,,5.8,8.9,,,,,3.7,4.8,,,,,7.1,,3.8,,,,4.2,,,4.5,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport,Arkansas,,7.1,5.7,4.8,2.9,3.1,3.9,,,,,,4.5,,,,,4.5,,,9.7,,,3.0,,,4.0,,4.1,,,,,,4.5,4.7,,,,4.8,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton,Ohio,,,,,,6.7,,,,,,5.2,4.2,,4.3,,5.5,5.9,4.0,,5.1,,,4.0,,,,,4.5,,,,,,,,,,,7.2,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allentown,Pennsylvania,,3.5,,,,,,,,,,5.0,4.3,,3.6,,7.7,5.3,,,9.3,3.4,,,4.3,,,,,5.4,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinsville,Virginia,,,3.8,,,4.6,4.8,,,,,5.0,7.6,2.9,3.2,,6.3,4.4,4.3,,,,,,,,,5.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Worth,Texas,,4.6,,3.4,,,,,3.3,3.8,,4.5,3.2,,4.3,,5.5,3.9,,,,,,3.2,,3.1,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millville,New-Jersey,,,3.8,,,4.9,5.7,,,,,5.3,6.5,,4.1,8.0,3.7,4.8,6.5,,5.3,,,,,3.8,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,Colorado,4.9,4.3,4.0,4.1,,5.3,3.9,,,8.4,,,,,3.8,,,,,,,,,,3.8,,2.7,,5.7,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State-College,Pennsylvania,,3.3,,5.9,,6.3,,,,5.4,,5.0,,,,,,,,,,5.7,,4.8,,,,,,8.5,,3.7,,,,,4.4,12.5,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagstaff,Arizona,,5.2,,3.5,,3.7,,,,,,3.7,,,3.3,,4.6,3.6,,3.6,,3.3,,3.7,2.9,,,,,3.7,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport,North-Carolina,,,8.1,,7.3,4.3,,,4.4,,,,3.8,,4.0,,,5.5,5.5,6.6,,,5.8,,,,,,,13.8,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Portsmouth,Ohio,,,,,,5.9,6.1,,,,,6.0,5.0,,10.6,,8.9,9.5,,,9.7,4.4,,4.3,,5.7,,,6.6,,,6.3,,,,,,,,4.7,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,
Astoria,Oregon,,5.6,7.3,,,6.0,,,,,,4.5,4.8,,4.9,,,,,,,6.2,,4.6,,,,,6.1,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,
South-Lake-Tahoe,California,,4.9,4.9,4.5,,,,,,,,5.4,,,11.7,,,,3.5,,,7.0,,,,,,,,6.1,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montoursville,Pennsylvania,,5.4,6.4,,,10.6,6.7,,,,,3.9,5.3,,,,7.8,8.0,6.5,3.8,,,,4.0,,,6.0,,5.3,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumford,Maine,,4.9,4.6,6.5,,5.5,5.7,,4.0,,,7.3,15.5,,4.1,,3.5,,5.4,,,4.9,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,Florida,,4.5,,,,3.3,,,,5.0,,,,,3.3,,4.8,5.5,3.5,3.8,3.5,3.1,,,5.2,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,Wisconsin,,6.1,,,,3.3,,,,3.5,,,,,2.9,,3.4,,,4.7,3.9,3.2,,,,,,,,,,,,,,,4.1,3.4,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wynne,Arkansas,,5.2,7.5,,,5.9,6.6,,,,,4.4,4.6,,,4.3,4.8,5.6,,,,5.3,,,,,,,5.3,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waco,Texas,,5.5,,,,,,,,,,4.1,3.5,,7.1,,5.7,5.9,,,8.3,6.4,,,,3.9,,,3.5,,,,,,,,,,,,,,,,,6.2,,3.3,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence,Kentucky,,4.0,4.4,5.1,3.8,6.2,,,,,,4.8,6.0,,,,4.0,4.9,4.0,,,,,,5.3,,,,6.3,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsport,Pennsylvania,,,,3.7,4.4,5.9,,,,,,4.0,4.2,,6.0,,4.9,,4.5,,3.7,3.8,,3.8,,,,,6.0,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greencastle,Indiana,,5.4,,4.3,4.5,4.8,,,,,,,7.9,5.2,7.2,,,3.7,,,,3.7,,,,,,,5.9,,,,,,,,3.1,,4.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfast,Maine,,6.5,6.9,,,5.6,,,,,,,3.8,,3.3,,,,4.2,4.4,,,6.5,,4.9,,,,6.4,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laramie,Wyoming,,5.1,3.7,4.0,,6.0,4.3,,,3.5,,,,,4.8,,,3.7,,,,2.7,,,,,,,5.5,3.9,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moundsville,West-Virginia,,,4.7,,6.1,6.5,,,,,,4.6,5.4,,6.7,,5.0,6.6,,4.9,,,,,,7.0,,,6.1,5.9,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake-City,Florida,,,4.3,6.7,,6.7,4.2,,,,,4.6,,,6.4,5.0,5.8,,4.2,,,3.4,,,,,,,6.4,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfside-Beach,South-Carolina,,4.4,7.4,,,4.4,,3.6,,,,,,,,,,,,,,,3.6,8.9,,,,,6.6,7.5,,3.8,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,
Franklin-Park,Illinois,,,3.2,4.2,3.6,7.7,,,,,,,7.4,,3.8,,4.1,7.4,4.3,,,,,,,,,,7.6,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Sobrante,California,,4.5,4.3,3.8,,4.9,,,,3.7,,3.1,3.2,,,,,5.1,5.3,4.2,,,4.4,3.6,,,,,5.7,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluefield,Virginia,,5.1,4.8,,4.7,5.0,7.7,,,,,,,,,,,4.8,7.7,,,,,,4.5,7.2,,6.5,9.1,,,,,,,,,,,,,,,3.8,,,,,,4.3,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland,Washington,10.7,4.5,3.9,3.9,,4.4,5.5,,,3.8,,,3.2,,3.0,,,,3.5,4.6,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christiansburg,Virginia,5.0,3.2,3.4,,4.7,5.1,7.2,,,,,,3.8,3.1,,,,,5.2,3.6,,,,,,,,,7.7,,3.9,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Ohio,,3.4,,,3.5,7.1,3.9,,,,,3.6,4.1,5.3,5.5,,4.2,5.5,,,5.1,,,,,,,,5.2,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake-Charles,Louisiana,,4.2,3.6,4.0,3.8,4.4,5.9,,,,,6.3,6.1,,4.8,,3.9,,3.9,,4.3,,,,,,,,5.5,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutley,New-Jersey,,3.1,4.7,3.6,,7.5,7.9,,,5.5,,,3.6,,,3.8,,,5.4,,,,,,,,5.5,,10.1,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear,Delaware,,3.5,3.6,3.2,5.1,12.0,,,,,,4.5,6.4,,,,,5.0,4.4,,,,,,6.4,,,,6.1,,4.5,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurens,South-Carolina,,4.3,,,8.5,,5.8,,,,4.2,,10.4,,5.9,,,8.2,,,5.3,,,,,,,,,,,,,,,,,,7.0,5.7,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita,Kansas,,5.9,,3.3,,,,,,,,4.1,3.4,,3.3,,3.9,,3.7,3.8,4.4,,,2.8,,4.1,,,,,5.2,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbondale,Illinois,,4.5,5.2,4.3,,5.4,4.7,,,,,,,,3.6,2.9,,,,,,3.1,,5.9,,,,,6.6,4.3,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,Indiana,,3.5,4.5,,4.6,5.0,,,,,,4.5,3.5,4.7,3.4,,,4.1,5.1,,,,,,,,,,5.3,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niceville,Florida,,4.3,4.2,6.4,,5.8,5.1,,,4.1,,5.8,,,6.8,,,4.1,3.8,,,5.2,,3.4,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianola,Mississippi,,,,,5.8,,5.6,,,,,5.7,6.0,5.3,5.6,,6.2,7.5,,,,4.7,,,,6.1,,,,,4.9,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chino-Valley,Arizona,,7.4,5.5,,,6.6,4.0,,,,,,,,4.6,,,8.7,6.0,,,,,5.0,,,,,8.1,4.7,3.8,,3.8,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand-Junction,Colorado,,4.1,4.2,5.5,,5.9,4.2,,,,,,,,4.4,,,5.9,,,,,,3.7,,,3.0,,5.0,4.0,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springdale,Arkansas,,3.7,5.0,3.6,3.9,4.5,4.1,,,,,,6.0,,,,4.3,4.2,5.2,,,,,4.3,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grayville,Illinois,,3.5,6.7,,5.9,,,,,,,,5.6,5.6,8.9,,,10.6,,,4.7,,,5.3,,,,,5.9,,,,,,,,6.7,,7.2,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naperville,Illinois,4.5,6.3,,2.7,,,,,,5.1,2.7,,,,,,,,,4.0,,3.0,,2.3,,,4.4,5.5,2.5,,,,,,,,3.5,,,,3.1,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,Oklahoma,,,4.0,4.6,,4.1,,,,,,4.1,6.3,,8.3,,3.2,5.9,,,6.1,4.9,,4.5,,6.1,,,,,4.0,,,4.1,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,North-Carolina,,5.9,5.7,4.3,,4.6,4.5,,,,,4.5,,,,,3.5,3.8,4.9,,,4.0,,4.8,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geneseo,Illinois,,7.2,,4.2,,9.0,8.3,,,,,,4.3,4.5,,,,6.6,4.5,5.1,3.7,4.4,,,,,,,7.6,,5.6,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester,Tennessee,6.4,4.5,,4.0,,5.9,6.4,,,,,6.3,9.0,,,,,5.2,6.8,,,,,4.2,,4.5,,,4.7,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walla-Walla,Washington,,3.7,5.1,4.5,,8.4,5.6,,,,,,,,6.0,4.7,,,5.1,,4.5,,,,,,,,4.1,,,,,,3.4,,4.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Struthers,Ohio,,,5.3,,4.0,,5.4,,,,,,5.5,,4.6,,8.7,8.2,7.6,6.2,,,,5.1,,4.4,,,7.9,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richardson,Texas,6.5,6.8,,,,3.1,,,,3.6,,3.4,,,2.6,,2.8,2.3,,4.4,,2.4,,2.2,,,,,4.1,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haskell,Texas,,4.5,7.6,,,,10.9,,,,,,,,5.6,,5.0,10.0,,,9.1,5.2,,,,6.7,,,,,7.9,,6.9,6.8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,
Independence,Missouri,,4.6,,,,4.8,,,,,,,4.2,,4.7,,4.3,5.1,,3.7,3.8,,,,3.8,4.0,,,,,4.0,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiprock,New-Mexico,,,,,,4.6,4.7,3.7,,,9.0,6.9,,,3.7,,3.9,4.5,5.7,,,8.2,,,,,,,5.5,,,,,,,4.7,,,,12.8,,,,,,5.7,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topeka,Kansas,,6.1,,4.3,,4.2,,,,3.9,,4.3,7.2,,4.9,,4.4,4.2,3.1,4.7,7.2,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia,Missouri,,6.4,4.9,,,4.6,4.9,,,,,5.1,4.8,,3.8,,4.3,7.0,6.3,,5.3,,,,,,,,12.4,,5.4,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol,Tennessee,,4.4,6.2,,,5.9,3.8,,,,,4.6,4.2,,4.4,,,6.1,4.6,,,,,4.4,,4.5,,,7.4,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brea,California,4.1,4.5,3.7,4.5,,8.7,9.1,,,4.0,,,3.8,,,,,,,,,,,3.2,,,5.2,4.3,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston,Tennessee,3.8,6.4,4.4,,5.2,4.4,7.2,,,,,4.7,7.9,3.3,3.6,,,,3.3,,,,,,,4.7,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,Texas,,4.3,,,,3.6,,,5.4,4.3,,4.1,,,4.9,,3.4,3.6,,,,3.7,,2.5,3.9,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamestown,North-Dakota,,6.5,3.9,5.2,,,5.1,,,,,,,,3.9,,,5.4,3.9,,5.1,4.3,,3.9,,,,,5.6,,4.1,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traverse-City,Michigan,,5.0,4.6,4.4,3.1,3.7,4.5,,,,,,3.3,,4.4,,,,4.0,,,,,6.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur,Arkansas,,5.2,,,,7.8,,,,,,,11.1,,,,5.1,4.2,6.0,,4.4,,,,,,,,,4.8,,,,4.8,7.8,,,,,7.5,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.-Louis,Missouri,,5.3,,,,3.2,,,3.0,5.6,,,,,2.8,,4.1,,2.7,5.9,5.0,,,2.7,,3.8,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspermont,Texas,,4.4,3.3,,,,6.0,,,,,,,,5.5,,,8.9,,4.9,10.4,7.1,,,,6.6,,,8.7,,7.7,,,,4.3,,,,5.1,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,
Cleveland,Oklahoma,,3.6,4.8,,4.6,,7.4,,,,,4.3,8.7,,3.4,,,5.7,5.0,,4.5,,,,4.6,4.3,,,5.5,,,,,,,,,,,5.6,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux-City,Iowa,,4.5,,6.2,,,,,,,,5.0,5.3,,4.1,,4.8,5.1,4.2,5.4,,,,,,4.1,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steeleville,Illinois,,,4.4,,3.7,,4.2,,,,,,6.1,,4.2,7.9,,12.3,7.1,5.8,4.6,,,,4.8,,,,7.5,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairmont,West-Virginia,,4.5,5.2,3.7,3.9,6.5,5.1,,,,,4.7,3.0,,,,,4.6,3.0,4.2,,3.2,,3.2,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
