city,state,Other Funds - Cash and Securities,Bond Funds - Cash and Securities,Sinking Funds - Cash and Securities,Bond Fund - Cash and Deposits,Employee Retirement - Total Other Securities,Total Federal Securities,Cash and Deposits,Sinking Fund - Cash and Deposits,Other Funds - Cash and Deposits
Absecon,New-Jersey,457.70,,,,,,,,
Bartlett,Illinois,912.44,,,,,,,,
La-Habra,California,986.53,84.66,8.59,,,,,,
Tucumcari,New-Mexico,1292.17,81.57,48.70,,,,,,
Logan,New-Mexico,3152.20,,5701.74,,,,,,
Belleville,Illinois,670.54,,,,,,,,
Tallahassee,Florida,2752.32,211.76,1955.86,,,,,,
San-Luis,Arizona,676.52,,2182.50,,,,,,
Biloxi,Mississippi,1192.37,6.99,533.19,,,,,,
Truth-or-Consequences,New-Mexico,2582.13,,,,,,,,
Oak-Grove,Missouri,1105.35,330.47,36.09,,,,,,
Bowie,Maryland,710.03,353.36,,,,,,,
Stamford,Texas,667.12,15.30,20.74,,,,,,
Kennett,Missouri,843.08,,,,,,,,
Henderson,Nevada,999.75,298.70,24.44,,,,,,
Atlanta,Illinois,308.75,,,,,,,,
Texarkana,Texas,595.26,66.69,36.07,,,,,,
Ocean-City,Maryland,7621.54,2600.95,,,,,,,
Amherst,Ohio,1442.10,,402.98,,,,,,
Collinsville,Illinois,754.83,,,,,,,,
Centerville,Georgia,1060.63,,,,,,,,
Rock-Hill,South-Carolina,525.89,64.59,40.01,,,,,,
Titusville,Florida,965.24,,2.55,,,,,,
Columbus,Ohio,1130.96,611.94,277.89,,,,,,
San-Bernardino,California,688.05,156.03,12.01,,,,,,
Tacoma,Washington,3579.59,445.00,245.98,,,,,,
Muskogee,Oklahoma,,,1128.39,,,,,,
Chadron,Nebraska,857.17,,,,,,,,
Carlsbad,New-Mexico,2677.96,440.46,10.20,,,,,,
Ashland,Oregon,1808.66,,48.17,,,,,,
Aurora,Illinois,802.09,,72.57,,,,,,
Atlantic-City,New-Jersey,2094.14,3085.26,106.06,,,,,,
Harrisburg,Illinois,978.50,,,,,,,,
Prescott-Valley,Arizona,1294.46,71.50,101.06,,,,,,
Riverside,California,517.19,100.11,91.27,,,,,,
Dallas,Georgia,505.11,,,,,,,,
Wyoming,Michigan,768.76,74.18,,,,,,,
Youngstown,Ohio,208.16,,,,,,,,
Cleveland,Texas,238.16,5.46,7.40,,,,,,
Wildwood,New-Jersey,2466.25,2904.81,,,,,,,
Attleboro,Massachusetts,416.72,316.36,,,,,,,
Longview,Texas,725.24,465.88,200.83,,,,,,
Augusta,Maine,2062.04,217.84,,,,,,,
Las-Cruces,New-Mexico,2007.04,575.18,,,,,,,
Irvine,California,2319.71,3564.00,3528.36,,,,,,
Somerdale,New-Jersey,139.68,77.60,,,,,,,
Lake-Orion,Michigan,1130.45,,,,,,,,
New-Bedford,Massachusetts,863.56,174.35,,,,,,,
South-Plainfield,New-Jersey,1347.79,722.89,,,,,,,
Akron,Ohio,980.28,18.85,145.27,,,,,,
New-Berlin,Illinois,1732.18,,,,,,,,
Tye,Texas,1436.61,,,,,,,,
Chattanooga,Tennessee,2499.35,465.95,513.86,,,,,,
Medford,Oregon,1852.04,163.75,6757.66,,,,,,
Iowa-City,Iowa,1970.07,780.51,660.58,,,,,,
Frederick,Maryland,1080.64,185.66,,,,,,,
Springfield,Massachusetts,874.48,118.84,,,,,,,
Red-Bank,New-Jersey,,,58.50,,,,,,
Quincy,Illinois,832.86,,,,,,,,
Glassboro,New-Jersey,1047.47,112.43,,,,,,,
Waterville,Maine,480.61,,,,,,,,
Harrison,Arkansas,923.70,,,,,,,,
Gulfport,Mississippi,1672.09,170.31,161.54,,,,,,
Bergenfield,New-Jersey,510.67,125.74,,,,,,,
Chicopee,Massachusetts,1798.86,356.76,,,,,,,
South-Charleston,West-Virginia,248.11,,,,,,,,
Carson-City,Nevada,675.19,70.09,1707.67,,,,,,
Milton,Georgia,338.14,,,,,,,,
Council-Bluffs,Iowa,1384.07,,38.85,,,,,,
Throop,Pennsylvania,2246.92,,,,,,,,
Hampton,Virginia,1529.99,409.87,114.82,,,,,,
La-Grande,Oregon,1436.10,,,,,,,,
Madras,Oregon,748.40,,46.94,,,,,,
Waterbury,Connecticut,392.98,,57.15,,,,,,
Portland,Maine,2895.19,453.95,80.25,,,,,,
Johnson-City,Tennessee,1672.03,322.12,2658.76,,,,,,
Easthampton,Massachusetts,752.27,31.24,,40.92,,,331.97,,
Georgetown,Delaware,577.95,151.66,315.22,,,,,,
Clovis,New-Mexico,1101.96,1.02,,,,,,,
Newark,California,955.03,603.61,27.67,,,,,,
Honolulu,Hawaii,6638.28,684.39,954.28,,,,,,
Corinth,Mississippi,7169.98,,449.63,,,,,,
Lufkin,Texas,898.32,,2948.00,,,,,,
Altus,Oklahoma,745.12,,932.54,,,,,,
Philadelphia,Pennsylvania,1422.19,35.69,45.66,,,,,,
Seattle,Washington,2343.63,503.90,293.42,,,,,,
San-Angelo,Texas,1016.87,1291.40,50.86,,,,,,
Milwaukee,Wisconsin,409.82,80.71,1628.44,,,,,,
Nacogdoches,Texas,1482.86,44.74,86.57,,,,,,
Mill-Valley,California,689.25,401.99,39.69,,,,,,
Allentown,New-Jersey,833.24,201.13,,,,,,,
Cameron,Missouri,1253.60,,,,,,,,
Trenton,Georgia,311.48,454.67,,,,,,,
Woodward,Oklahoma,526.28,659.10,102.63,,,,,,
Carbondale,Colorado,2156.42,,30.15,,,,,,
Columbus,Nebraska,1885.55,,,,,,,,
Miami-Beach,Florida,7293.39,3766.42,85.20,,,,,,
St.-George,Utah,1217.73,390.72,176.93,,,,,,
Scranton,Pennsylvania,503.22,,10.45,,,,,,
