city,state,Charges - Sewerage,Other,Parks and Recreation,Federal Intergovernmental - Other,Housing and Community Development,Miscellaneous - Fines and Forfeits,General Revenue - Other,Rents,Interest Earnings,Revenue - Water Utilities,State Intergovernmental - Water Utilities,Sewerage,Highways,General Local Government Support,Tax - General Sales and Gross Receipts,Property,Other Selective Sales,Public Utilities Sales,Occupation and Business License - Other,Other License,Documentary and Stock Transfer,Charges - Other,Federal Intergovernmental - Housing and Community Development,Local Intergovernmental - General Local Government Support,Miscellaneous - General Revenue - Other,Fines and Forfeits,Donations From Private Sources,State Intergovernmental - General Local Government Support,Transit Utilities,Education,Tax - Property,Sea and Inland Port Facilities,Regular Highways,Solid Waste Management,Miscellaneous Commercial Activities,Local Intergovernmental - Other,Special Assessments,Sale of Property,Revenue - Transit Utilities,State Intergovernmental - Other,Public Welfare,General Sales and Gross Receipts,Air Transportation,Parking Facilities,Federal Intergovernmental - Air Transportation,Health and Hospitals,Natural Resources,State Intergovernmental - Highways,Water Utilities,Individual Income,Corporation Net Income,Pari - mutuels Sales,Motor Vehicle License,Tobacco Products Sales,Amusements Sales,Public Utility License,Alcoholic Beverage License,Charges - Parks and Recreation,Elementary and Secondary Education - Other,Elementary and Secondary Education School Lunch,Local Intergovernmental - Education,Miscellaneous - Donations From Private Sources,Revenue - Electric Utilities,State Intergovernmental - Education,Alcoholic Beverage Sales,Miscellaneous - Interest Earnings,Gas Utilities,Charges - Solid Waste Management,Natural Resources - Other,Miscellaneous - Special Assessments,Miscellaneous - Rents,Charges - Air Transportation,Electric Utilities,Local Intergovernmental - Electric Utilities,Royalties,Charges - Miscellaneous Commercial Activities,Federal Intergovernmental - Transit Utilities,Local Intergovernmental - Housing and Community Development,Insurance Premiums Sales,Local Intergovernmental - Highways,Local Intergovernmental - Transit Utilities,State Intergovernmental - Transit Utilities,Federal Intergovernmental - General Local Government Support,Motor Fuels Sales,Local Intergovernmental - Water Utilities,Charges - Parking Facilities,Tax - Documentary and Stock Transfer,Federal Intergovernmental - Highways,State Intergovernmental - Sewerage,Amusements License,Hospital Public,Tax - Individual Income,Death and Gift,Elementary and Secondary Education School Tuition and Transportation,Revenue - Gas Utilities,Federal Intergovernmental - Health and Hospitals,Tax - Public Utilities Sales,Federal Intergovernmental - Public Welfare,Toll Highways,Charges - Housing and Community Development,Miscellaneous - Sale of Property,State Intergovernmental - Public Welfare,Charges - Hospital Public,Local Intergovernmental - Health and Hospitals,Employee Retirement - From Local Government,Local Employee Contribution,Interest Revenue,From Other Government,Property Sale Other,General Support,Public Utilities,Federal Intergovernmental - Water Utilities,Local Intergovernmental - Public Welfare,Federal Intergovernmental - Education,Tax - Other Selective Sales,Liquor Stores,Local Intergovernmental - Sewerage,Tax - Occupation and Business License - Other,Federal Intergovernmental - Natural Resources,Total General Sales,Federal Intergovernmental - Sewerage,Tax - Other,State Intergovernmental - Housing and Community Development,Revenue - Liquor Stores,Charges - Regular Highways,State Intergovernmental - Health and Hospitals,Corporation License,State Intergovernmental - Electric Utilities,Charges - Elementary and Secondary Education School Lunch,Motor Vehicle Operators License,Charges - Natural Resources - Other,Tax - Other License,Tax - Amusements Sales,Higher Education - Other,Higher Education Auxiliary Enterprises,Employee Retirement - Earnings on Investments (calculated),From Parent Local Government,Tax - Insurance Premiums Sales,Charges - Sea and Inland Port Facilities,Severance
Rehoboth-Beach,Delaware,,126.13,145.54,,,,86.03,,3.23,1787.84,,60.80,,,,912.03,737.39,113.84,282.02,573.09,,,,,,116.43,15.52,,,,,,,529.11,,,,15.52,,,,,,,,,,915.27,,,,,,,,,,,,,,,,,,,,,,,209.57,,,,,,,,,,,,,,,3628.72,1525.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,Arizona,,,5.31,,2.66,,23.90,,1.73,131.97,,128.02,84.42,,,,,26.18,,15.38,,214.41,38.72,,,24.39,,299.76,,,456.74,,,89.61,,,,,,,,42.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taos,New-Mexico,,42.00,18.72,,,,,,5.40,254.17,,348.46,124.81,69.83,1902.01,196.15,330.58,,,107.94,,,,,10.79,,,,,,,,,,,,,,,241.19,,,,,1648.68,,,,,,,,,,,,,,,,,,,,,,,439.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salisbury,Maryland,324.88,13.45,1.82,,8.68,,,,15.58,127.86,,,16.18,0.55,,,,,26.72,11.11,,,,,196.54,42.17,3.19,,,,749.42,,2.43,34.13,,37.80,,,,,,,,19.58,,,,,,55.08,,,,,9.23,12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.82,196.96,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Lauderdale,Florida,,16.98,41.05,60.04,2.39,,,90.27,42.18,745.95,,,8.36,,,,,208.27,139.62,118.75,,,,80.48,329.58,40.25,7.02,88.04,0.39,,710.57,,,,,,266.69,6.61,,,2.48,,21.54,82.42,,,,,,,,,,,,,,,,,,,,,,,,88.29,63.93,,,,,,,,,,32.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomingdale,Illinois,133.52,24.93,63.55,0.14,,,,,9.87,265.21,,,25.62,,195.14,135.64,52.39,24.75,,72.91,,,,,60.24,21.21,,478.08,,,,,,,,12.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,Ohio,,10.29,50.47,,0.69,,,87.66,34.39,532.46,,39.34,5.13,33.58,,204.19,19.43,,4.88,46.77,,102.37,,,161.48,21.39,18.90,,,,,,2.75,,,71.68,23.30,16.93,,,,,7.05,49.46,,0.47,,43.29,17.81,,149.66,,15.28,,19.07,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,65.73,,,,,,,0.60,92.37,1087.22,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waukesha,Wisconsin,194.50,4.09,28.22,14.99,2.74,,17.36,4.56,,268.88,,5.88,45.46,54.65,,,9.16,,13.64,28.47,,,,,,12.79,1.44,,17.55,19.85,861.89,,0.01,,5.09,45.39,11.05,0.12,,68.27,,,,10.69,,,,,0.04,,,,,,,,,,,,,,,,,26.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Illinois,,10.99,,,10.98,,,,11.61,,,60.95,25.77,,347.80,251.72,100.13,20.11,,12.87,,82.04,,,12.97,9.70,,373.21,,,,,,,,3.79,,,,,3.01,,,5.85,,,,,257.19,,,,,,,,,,,,,,2118.64,,,,,,,,,,,,,,,,,,,,,,,,,92.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carol-Stream,Illinois,,0.79,,,,38.34,29.69,,6.91,276.69,,,25.97,2.30,115.63,113.59,30.86,90.55,,32.24,,32.55,,,,,,327.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock-Island,Illinois,231.90,191.09,80.51,24.18,,,,,14.42,226.65,,,24.40,3.28,,,108.11,47.58,,25.12,,,,,43.87,15.87,,372.85,,,452.20,,,56.00,,50.73,,,,,,57.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early,Texas,134.81,36.08,,,,38.92,,10.44,10.44,457.59,,,,,481.96,320.25,,52.22,,5.38,,,,,,,2.22,2.85,,,,,,84.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur,Alabama,317.15,41.71,10.85,,21.58,,7.57,,,,,,52.24,,777.04,240.19,52.93,,104.99,9.70,,,,,,19.93,5.14,95.58,,,,,72.18,111.87,0.84,,37.08,0.53,,,,,,,,,,,291.58,,,,29.68,,,,,,,,,,1685.00,,34.29,70.73,260.78,,,,,,,,,,,,,,,,,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winfield,Illinois,,,,,,,,,8.92,670.30,,,24.39,,,,44.83,83.23,,46.39,,,,,73.06,56.45,,143.01,,,141.34,,,,,107.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlottesville,Virginia,,12.31,42.65,,0.25,,,12.29,19.72,,,333.64,233.19,141.98,,,358.25,100.09,210.43,0.23,28.52,491.85,,335.44,48.79,8.86,17.18,,64.70,79.47,1599.82,,,22.74,0.66,,,3.45,,,371.96,245.82,,28.60,,,,,233.00,,,,21.07,14.09,,,,,3.66,7.85,,,,526.55,,,,,,,,,,,,,118.77,,,,,,,,,,,,,,,,,36.18,474.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Ohio,636.28,,8.19,,,,,0.48,,,,,,,,,,,,,,,,,,11.88,5.30,,,,112.52,,,132.74,6.90,,,,,,,36.76,,,,,,34.83,392.78,,,,9.63,,,,1.93,,,,,,3200.80,,,39.49,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Memphis,Arkansas,,14.47,2.58,302.15,13.73,,,8.20,28.36,,,63.64,82.41,17.05,281.21,56.51,61.10,87.37,9.18,5.98,,,,84.54,34.42,32.50,0.61,,,,,10.86,,,,,,,,,,,61.96,,,,,73.97,62.99,,,144.54,,,,,,,,,,,1125.03,,3.36,,,100.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhart,Indiana,479.14,26.03,9.11,6.86,,,0.99,1.38,,313.00,,0.95,92.35,,,,,6.30,1.81,6.42,,,,,,12.87,2.85,109.71,,,703.71,,,,5.29,,,4.22,,,,,4.93,,,,,,6.07,,,,,,,,,,,,,,,,,21.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chico,California,142.66,13.88,19.49,,18.39,,4.35,1.80,,,,18.80,,1.38,,,26.25,83.72,2.88,68.98,3.74,,,,,8.19,1.12,,0.01,,243.65,,,,,28.21,,,0.17,,,233.72,5.25,11.44,31.48,,,19.19,,,,,,,,,,,,,,,,,,13.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral-Springs,Arkansas,87.11,,,,,,,,,130.66,,,,,217.77,,,21.78,,,,,,,,,,,,,,,,56.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,New-York,,0.13,4.51,,75.48,,,1.70,16.68,194.82,,,27.34,428.96,,,3.86,37.85,1.48,25.71,,,,746.30,536.44,22.67,,,,10.15,529.73,,,,,,3.93,9.52,,,,,,56.17,,1.29,,,,,,,,,,,,,7.43,0.62,,,,3683.72,,,,138.96,,,,,,,,,,,,,,,,,,,,113.71,,0.05,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinellas-Park,Florida,274.34,42.96,4.40,8.52,,,20.19,6.45,8.07,274.34,,,17.51,,,,,159.55,96.87,14.17,,,,34.94,,3.64,,91.95,,,292.86,,,117.42,,,1.96,2.82,,,0.11,86.13,,,,,,,,,,,,,,,,,,,,23.40,,,,,,,24.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux-Falls,South-Dakota,158.93,10.98,11.03,,7.73,,9.22,0.38,11.37,194.95,,,,17.47,702.86,327.66,57.12,21.21,,24.73,,,,,,6.37,18.43,,0.34,,,,25.59,60.31,,,,5.05,,,,,,10.03,,3.47,,19.64,,,,,,,0.06,,,,,,,,,,,,,,,37.95,,,46.05,,,,21.25,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crestview,Florida,140.46,0.99,5.06,32.09,,,17.09,,1.78,102.16,,,3.72,,,,,115.57,75.85,18.79,,,,5.22,,1.35,,119.73,,,256.15,,,113.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.10,21.33,,,,,,,,,,,,,,25.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertville,Minnesota,131.45,9.68,32.63,,,,,0.40,18.30,45.50,,,1.46,,,,,26.00,3.05,31.83,,,,,45.36,1.86,,12.20,,,502.45,,24.67,10.88,,13.66,26.00,,,,,,,,,,,,,,,,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosser,Washington,416.30,26.49,22.57,,,22.10,9.72,8.15,0.00,329.00,,,30.88,12.38,,184.48,19.91,,8.93,13.32,21.94,,,,,,1.25,,,,,,15.67,175.08,,1.41,0.47,,,36.68,,298.75,,,,24.14,,,,,,,,,,,,,,,,,,,,,,,54.86,,,,,,,,,,,,,,,,,,,,,,,,,,,18.03,314.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pompano-Beach,Florida,165.17,0.51,36.51,,5.47,,57.11,22.04,12.52,236.61,,,0.26,7.06,,,,157.99,94.28,66.90,,,,,,9.32,0.12,93.91,,,596.13,,,70.68,1.14,17.01,,3.14,,,10.24,,9.95,15.14,,20.60,,,,,,,,,,,,,,,,,,,,,,,,119.29,,,,,,,,,,,,,,17.51,,,,,,,,,,,,,,60.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daytona-Beach,Florida,421.21,32.45,112.42,43.82,4.71,,19.82,19.04,13.33,274.94,,,18.11,,,,,157.40,107.19,50.85,,,,46.01,,10.13,2.72,85.22,,,389.91,50.33,,226.77,,,,20.68,,,,,,9.57,,,,,,,,,,,,,,,,,,,,,,,,,163.37,27.38,,,,,,,,,11.75,,,,,27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poulsbo,Washington,471.44,83.27,39.67,,,,2.42,13.52,0.00,165.38,,,21.22,13.16,345.27,210.51,14.06,184.28,12.89,133.24,71.19,,,,,13.34,6.54,,,,,,,170.04,0.45,39.04,,81.04,,39.76,,,,,,,,,,,,,,,9.04,,,,,,,,,,,,,,6.45,183.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,Tennessee,265.08,38.07,2.99,,10.67,,,1.30,5.07,,,,14.12,1.77,,,,,9.29,28.70,,,,,17.42,12.43,3.84,129.09,,,310.82,,,76.90,,3.84,,2.61,,,,114.20,15.58,,,,,,309.29,,,,,,,,0.23,,,,,,,,27.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laredo,Texas,,0.21,4.18,,20.88,,19.78,11.73,12.23,141.53,,113.84,,1.75,,,17.68,31.91,,41.17,,279.46,,,,17.40,,,2.58,,308.32,,,86.81,1.26,,2.72,0.32,,30.15,,207.45,28.39,10.88,39.58,29.55,,,,,,,,,0.29,,,,,,,96.13,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,232.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las-Vegas,Nevada,156.02,8.97,13.68,26.66,12.78,,52.50,4.26,12.80,,,,,0.36,,,4.98,87.41,32.80,26.08,,,,,,25.23,,463.84,58.92,,185.68,,,,,134.28,5.19,0.29,0.13,,,,,10.36,,,,,,,,,,,,,4.37,,,,,70.43,,,,,,,,,,,,,,,,,,,,,,16.22,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trenton,New-Jersey,,605.86,,,,,,0.26,0.01,83.35,,25.23,,334.45,,,0.36,8.16,,43.60,,,112.93,,43.46,28.14,,,,,275.93,,0.29,,,,,8.57,,,,,,11.37,,,,,,,,,,,,,2.25,,,7.03,,,,3387.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsdale,New-Jersey,,4.56,,,,,20.37,,0.39,,,2.13,1.55,,,,,,34.54,,,,,,,6.69,0.78,111.19,,,1020.57,,,8.83,,4.46,,,,,4.95,,,5.72,,0.97,,,,,,,,,,,2.04,105.66,,,,,,,,,,,,,22.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North-Miami,Florida,303.48,3.25,14.18,,2.28,,,65.61,5.03,242.13,,,0.54,,,,,76.76,55.30,32.07,,,12.86,,255.17,22.95,7.07,114.82,,,297.79,,,34.34,,11.21,1.61,70.69,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,50.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shepherd,Texas,84.13,,,,,,,,,140.07,,,,,,,,44.76,,,,,,,,,,,,,75.84,,,,,,,,,,,70.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,California,,,6.39,62.00,3.64,,105.09,35.66,1.97,232.42,,0.01,27.32,18.36,,,10.45,135.82,30.66,64.91,29.34,452.47,,,,36.30,17.67,,,,310.30,,3.70,123.50,,16.44,,0.83,,27.94,0.32,289.18,,37.63,,,,,0.98,,,,,,,,,,,,,,,,,,,,,114.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgeport,Connecticut,250.45,93.18,,,,,8.68,9.48,3.65,,,,9.64,1425.61,,,,,1.72,25.28,,,14.75,,,,0.07,,,10.25,2126.10,,,,,,1.53,,,,,,6.02,,,51.62,0.70,,,,,,,,,,,,0.72,1.50,10.82,,,2073.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endicott,New-York,257.82,80.04,3.67,45.40,,7.82,4.63,2.39,0.32,293.89,,,23.62,26.09,,,,20.59,0.56,4.23,,,,241.06,,,1.28,,,,643.79,,,,,,,0.24,,77.72,,,12.05,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.84,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,Delaware,210.09,47.26,,2.75,6.21,55.14,20.17,,8.41,,,1.67,1.64,,,,,14.05,,64.90,,,,17.72,,,,,7.58,,195.64,,,0.75,,,0.90,3.28,,,,,,86.38,,,,37.89,279.49,,,,,,,,,,,,,,1576.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peoria,Illinois,,0.15,,,,,,,6.43,,,57.25,44.59,11.49,,,95.11,97.92,,24.70,,,14.72,,48.62,,,426.23,,,343.32,,,56.10,,,,,,,0.39,218.67,,17.72,,,,,,,,,,,,,,177.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympia,Washington,406.55,394.24,16.55,22.45,6.39,,,54.71,0.00,260.58,,,24.87,12.93,410.82,353.77,21.27,300.22,124.14,76.11,49.24,,,,63.61,15.83,2.42,,,,,,34.17,215.12,,14.52,5.28,4.56,,37.78,,,,,,0.43,,,,,,,30.03,,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerton,Arizona,124.68,44.04,,,1.09,,,,2.42,77.44,,23.98,69.89,,103.60,33.65,,,18.30,4.59,,,,,31.53,9.85,1.75,232.69,,,,,,54.55,,,5.50,9.85,,,,,,,,,,,82.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Tennessee,215.96,17.16,7.08,,20.31,,22.20,,,,,,58.83,142.65,,,,29.40,,10.77,,,,,,20.94,6.29,,2.07,,557.16,,,55.86,,,,1.89,,,,,2.83,,201.08,,,,3.38,,,,,,,,1.34,,43.31,2.18,405.61,,2276.31,789.27,50.81,48.66,,,,,,,8.97,,,,,,,,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guymon,Oklahoma,,15.64,31.65,,,,,4.27,5.37,,,122.32,6.18,13.28,763.00,,17.19,55.66,2.91,,,,,,147.33,31.83,132.41,,,,,,,,,,,,,29.19,,,1.00,,28.37,,,,293.56,,,,,,,,,,,,,,,,,,,138.41,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,385.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon-Grove,California,228.34,0.45,5.30,,,,,9.40,5.30,,,,19.40,0.60,264.41,177.69,1.94,35.02,3.21,14.17,3.73,,5.04,,24.09,7.01,,,,,,,,,,,3.92,,,102.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omaha,Nebraska,313.56,5.13,17.35,,,,,1.93,2.25,,,,1.15,,,,,8.08,143.80,22.46,,,16.37,31.71,,,,,,,343.19,,55.15,,,,,,,,5.78,331.32,,21.55,,,6.54,91.80,,,,,70.87,,,,1.45,,,,,,,,,,,,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburg,Texas,,11.20,22.97,,0.13,,8.19,2.35,2.45,115.63,,53.93,,19.88,,,3.46,35.11,1.36,4.50,,,11.06,,,7.55,,,,,250.48,,,,,,,,,28.49,,187.81,0.47,,,,,,,,,,,,,,,,,,,8.31,,,,,,152.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North-Platte,Nebraska,208.55,49.24,36.00,27.37,,,,,,,,,,15.44,329.96,305.47,,133.13,,,,,,83.55,346.17,,,,4.44,,,,,104.07,,,,,,,,,,,,,,112.86,250.81,,,,,,,,,,,,,,1599.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encinitas,California,121.96,3.08,21.37,,1.69,,,,24.06,236.01,,,,4.15,,,35.21,40.60,,4.00,8.29,,23.44,,26.04,13.55,2.31,,26.63,,696.47,,18.00,7.10,,30.97,9.17,0.11,,,,200.13,,,,,,19.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarkston,Georgia,17.73,2.29,3.96,1.42,,77.55,7.12,8.55,,,,,,0.71,,,,20.57,21.29,4.19,,,,4.75,,,0.16,,,,163.96,,,14.64,,,,0.55,,6.01,,,,,,4.27,,,,,,,,,,,5.78,,,,,,,,9.34,,,,,,,,,,,,,,57.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batesville,Mississippi,200.89,7.07,24.38,38.10,,,6.79,,11.78,,,18.98,1.66,,,,179.00,45.44,7.07,18.29,,,,,,27.02,13.85,694.65,,,554.86,,,34.22,,,0.83,4.99,,,,,,,,,,,305.62,,,,,,,,,,,,,,,,,,,,,,34.77,,,,,,,,,,,,,,,,,,,,,,,,707.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayward,Wisconsin,316.31,18.17,14.28,,,,,,0.00,275.64,,,0.43,55.82,,,54.95,,28.99,16.88,,,,,164.43,6.49,38.08,,,13.85,541.76,,,,14.28,99.96,6.06,6.06,,,,,,,,,,60.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,Tennessee,,16.18,,,,,,,,,,,28.98,,37.91,,,,0.24,10.14,,,,,,,,127.75,,,,,,,8.69,0.72,,,,,,,,,,,,,,,,,,,,,0.24,18.11,,,,,,,,1.69,,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairview,Tennessee,,15.85,1.64,,,33.46,22.52,,0.66,,,,26.79,,,,5.03,20.12,11.48,5.03,,7.11,,100.37,,,,122.79,,,148.15,,,,,,,2.84,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,35.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Antonio,Texas,162.21,10.10,19.67,,0.43,,,14.83,27.38,,,,8.73,5.74,,,43.26,18.58,6.72,18.78,,,34.32,,116.30,3.41,1.88,,,22.09,320.12,0.39,0.66,74.06,0.17,38.75,11.32,10.14,,,,219.08,16.27,5.32,,12.52,,,268.72,,,,,,0.67,,0.40,,,,,,1576.90,,,,116.60,,1.35,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,66.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
